"140105","ココア","ココア"
"140107","紅茶","コウチヤ"
"140109","日本茶","ニホンチヤ"
"140111","麦茶","ムギチヤ"
"140113","中国茶","チユウゴクチヤ"
"140115","その他の茶類","ソノタノチヤルイ"
"140197","その他嗜好飲料","ソノタシコウインリヨウ"
"1402","果実飲料","カジツインリヨウ"
"140201","果汁100%飲料","カジユウ100%インリヨウ"
"140203","果汁飲料","カジユウインリヨウ"
"140205","果肉飲料","カニクインリヨウ"
"140209","野菜ジュース","ヤサイジユ-ス"
"140211","トマトジュース","トマトジユ-ス"
"140297","その他果実飲料","ソノタカジツインリヨウ"
"1403","清涼飲料","セイリヨウインリヨウ"
"140301","コーラ","コ-ラ"
"140305","炭酸フレーバー","タンサンフレ-バ-"
"140307","コーヒードリンク","コ-ヒ-ドリンク"
"140309","ココアドリンク","ココアドリンク"
"140311","紅茶ドリンク","コウチヤドリンク"
"140313","日本茶・麦茶ドリンク","ニホンチヤ,ムギチヤドリ"
"140315","中国茶ドリンク","チユウゴクチヤドリンク"
"140316","その他茶ドリンク","ソノタチヤドリンク"
"140317","水","ミズ"
"140321","炭酸水","タンサンスイ"
"140323","スポーツドリンク","スポ-ツドリンク"
"140325","栄養ドリンク","エイヨウドリンク"
"140327","ビネガードリンク","ビネガ-ドリンク"
"140397","その他清涼飲料","ソノタセイリヨウインリヨウ"
"1404","乳飲料","ニユウインリヨウ"
"140401","牛乳","ギユウニユウ"
"140403","豆乳","トウニユウ"
"140405","乳酸飲料","ニユウサンインリヨウ"
"140407","乳酸菌飲料","ニユウサンキンインリヨウ"
"140497","その他乳飲料","ソノタニユウインリヨウ"
"1406","アルコール飲料","アルコ-ルインリヨウ"
"140601","清酒","セイシユ"
"140611","合成清酒","ゴウセイセイシユ"
"140621","焼酎(甲類)","シヨウチユウ(コウルイ)"
"140623","焼酎(乙類)","シヨウチユウ(オツルイ)"
"140631","みりん","ミリン"
"140641","ビール","ビ-ル"
"140651","果実酒","カジツシユ"
"140653","甘味果実酒","カンミカジツシユ"
"140661","ウイスキー","ウイスキ-"
"140663","ブランデー","ブランデ-"
"140671","スピリッツ","スピリツツ"
"140681","リキュール類","リキユ-ルルイ"
"140691","発泡酒","ハツポウシユ"
"140693","粉末酒","フンマツシユ"
"140695","その他雑酒","ソノタザツシユ"
"140697","その他アルコール飲料","ソノタアルコ-ルインリヨウ"
"1407","酒類を含むセット商品","サケルイヲフクムセツトシヨウ"
"140701","酒類を含むセット商品","サケルイヲフクムセツトシヨウ"
"140797","酒類を含むセット商品一般","サケルイセツトイツパン"
"1497","その他飲料・酒類","ソノタインリヨウ,サケルイ"
"149797","その他飲料・酒類","ソノタインリヨウ,サケルイ"
"19","その他食品","ソノタシヨクヒン"
"1901","乳幼児食品","ニユウヨウジシヨクヒン"
"190101","育児用ミルク","イクジヨウミルク"
"190103","ベビーフード","ベビ-フ-ド"
"190197","その他乳幼児食品","ソノタニユウヨウジシヨクヒ"
"1902","健康食品","ケンコウシヨクヒン"
"190201","健康食品","ケンコウシヨクヒン"
"190203","妊産婦用食品","ニンサンフヨウシヨクヒン"
"190297","その他健康食品","ソノタケンコウシヨクヒン"
"1903","食品贈答品","シヨクヒンゾウトウヒン"
"190301","食品贈答品","シヨクヒンゾウトウヒン"
"190397","その他食品贈答品","ソノタシヨクヒンゾウトウヒ"
"1997","その他食品","ソノタシヨクヒン"
"199701","たばこ","タバコ"
"199797","その他食品","ソノタシヨクヒン"
"2","日用品","ニチヨウヒン"
"21","日用雑貨","ニチヨウザツカ"
"2121","口中衛生用品","コウチユウエイセイヨウヒン"
"212101","歯磨き","ハミガキ"
"212103","歯ブラシ","ハブラシ"
"212105","洗口液","センコウエキ"
"212107","口中清涼剤","コウチユウセイリヨウザイ"
"212109","デンタル用品","デンタルヨウヒン"
"212111","義歯用品","ギシヨウヒン"
"212197","その他口中衛生用品","ソノタコウチユウエイセイヨウ"
"2122","石鹸類","セツケンルイ"
"212201","化粧石鹸","ケシヨウセツケン"
"212203","ハンドソープ","ハンドソープ"
"212205","ボディシャンプー・リンス","ボデイシヤンプ,リンス"
"212207","入浴剤","ニユウヨクザイ"
"212297","その他石鹸類","ソノタセツケンルイ"
"2123","衛生紙用品・用具","エイセイカミヨウヒン,ヨウク"
"212301","ティッシュペーパー","テイツシユペ-パ-"
"212303","ペーパーハンドタオル・用具","ペ-パ-ハンドタオル,"
"212305","ウェットティッシュ","ウエツトテイツシユ"
"212307","トイレットペーパー","トイレツトペ-パ-"
"212309","京花紙・ちり紙","キヨウカシ,チリガミ"
"212311","生理用品・用具","セイリヨウヒン,ヨウグ"
"212313","軽失禁用品・用具","ケイシツキンヨウヒン,ヨウク"
"212397","その他衛生紙用品・用具","ソノタエイセイカミヨウヒン,"
"2124","介護用品・用具","カイゴヨウヒン,ヨウグ"
"212401","大人用オムツ","オトナヨウオムツ"
"212403","大人用衛生用品","オトナヨウエイセイヨウヒン"
"212497","その他介護用品・用具","ソノタカイゴヨウヒン,ヨウ"
"2125","育児用品・用具","イクジヨウヒン,ヨウグ"
"212501","ベビー用オムツ","ベビーヨウオムツ"
"212505","ベビー用スキンケア","ベビーヨウスキンケア"
"212507","ベビー用衛生用品・用具","ベビーヨウエイセイヨウヒ"
"212511","ベビー用ヘルスケア","ベビーヨウヘルスケア"
"212513","授乳用品・用具","ジユニユウヨウヒン,ヨウク"
"212597","その他育児用品・用具","ソノタイクジヨウヒン,ヨウ"
"2126","衛生医療用品・用具","エイセイイリヨウヨウヒン,ヨ"
"212601","綿棒","メンボウ"
"212603","包帯","ホウタイ"
"212605","ガーゼ","ガ-ゼ"
"212607","脱脂綿","ダツシメン"
"212609","救急絆創膏","キユウキユウバンソウコウ"
"212611","固定テープ・巻絆創膏","コテイテープ,マキバンソ"
"212615","サポーター","サポ-ター"
"212617","マスク","マスク"
"212619","避妊用品","ヒニンヨウヒン"
"212621","飲薬補助用品・用具","インヤクホジヨヨウヒン,ヨ"
"212623","コンタクトレンズ用剤・用具","コンタクトレンズヨウザイ"
"212625","目・鼻・耳ケア用品・用具","メ,ハナ,ミミケアヨウヒン,"
"212627","フットケア用品・用具","フツトケアヨウヒン,ヨウグ"
"212629","ハサミ・ピンセット","ハサミ,ピンセツト"
"212631","体温計","タイオンケイ"
"212633","血圧計","ケツアツケイ"
"212635","ヘルスメーター","ヘルスメ-タ-"
